CTAC,CTLESS,LABEL
-2.2926714676756674,-1.5370621779478761,1
-2.1387865888222617,-1.6332219594406139,1
-2.173522358062735,-1.5837907465719558,1
-1.4151748043349544,-1.5384486973660993,1
-1.493274951928144,-1.3543021253264371,1
-1.6363103922810125,-1.3120816729748497,1
-2.4914319570761263,-2.5092916595281425,1
-2.4326893631941955,-2.3920253864510066,1
-2.2170808532043615,-2.418074502796401,1
-1.9167075615535136,-1.9726971508166506,1
-2.0158214791058846,-1.8232975661208215,1
-2.013342365522525,-1.7251194101586775,1
-2.0581780363704993,-1.4175987294853325,1
-2.156406616011257,-1.4397594561823666,1
-1.8709572288129377,-1.3099513353657826,1
-1.9652335310227707,-1.8216339541552902,1
-2.293305162506824,-1.9338913449305166,1
-2.4519728557065,-1.914287071494813,1
-1.9698622995923851,-1.4824888210792595,1
-1.4943546940379253,-1.6433409864330528,1
-1.4755271261942502,-1.779502002517256,1
-1.9961396869981596,-1.9519266580115882,1
-1.794984061532229,-1.8622314570862621,1
-1.4762808055577423,-1.8550821755941738,1
-2.2654753198571864,-0.9545030949276222,1
-2.28380035526199,-1.2208832663799725,1
-1.9942301866347831,-1.3867643404638041,1
-1.3857455213869274,-1.6645403564186096,1
-1.6257794045782603,-1.6647429186697782,1
-2.123627377475039,-1.6564436184725988,1
-2.180135928608315,-1.251447057516279,1
-2.129324312120136,-1.1504194680327786,1
-1.9339788107424782,-1.1677579875540502,1
-1.703358315075946,-0.6112527368659237,1
-1.7581806695610864,-0.4706999137142327,1
-1.6495311174784044,-0.4469284588430652,1
-1.2967247743063361,-1.7777401076486639,1
-1.2657760457472085,-1.9526197247303494,1
-1.3501411524242002,-2.050250608484279,1
-3.0756243907627487,-1.779245602508895,1
-2.6163618350811886,-1.8842362999847135,1
-2.7000953371353624,-1.864006644707345,1
-2.4594953168207576,-1.4572730764796202,1
-2.616417089901157,-1.4349704546331186,1
-2.6349718162784765,-1.571704723894766,1
-1.868194599996922,-1.0307907216396424,1
-1.669206834704537,-1.100777831034928,1
-1.7108014067757957,-1.123530184245785,1
-1.2399357193501437,-2.146701991119504,1
-1.3762592138307421,-2.194653437530146,1
-1.4314410358186518,-2.195896391002311,1
-2.5712588733617174,-2.653901054688112,1
-2.3951415920181494,-2.754509831788603,1
-1.971929817485905,-2.762850472482513,1
-1.2177207853302974,-1.5069142062388536,1
-1.1269281246452132,-1.6820239838804316,1
-1.0909882130970137,-1.8513875407459022,1
-1.646331411507144,-1.4399713768742388,1
-2.244819273346355,-1.513288354072091,1
-2.7905313180839113,-1.5490986160784421,1
-1.6799225897618757,-1.9494762945756943,1
-1.9753207365362986,-1.8107491364608088,1
-1.8239057866130737,-1.8466128246098479,1
-1.4874998415439564,-1.95213285279668,1
-1.1152049394105696,-2.049171931589839,1
-1.103683690597199,-2.070688587858466,1
-2.1247235600087344,-1.482917737950335,1
-2.0436906190632484,-1.5517704061682722,1
-2.0038204549415357,-1.5544881694013237,1
-0.7465709977045442,-1.9013941125397806,1
-1.0438952166049473,-1.9311784749803567,1
-1.2824800824554925,-2.029906769451811,1
-1.9663433085505364,-0.17922986805686558,1
-1.9712534095507661,-0.283419807294195,1
-1.9234790876649934,-0.3309459264452742,1
-2.1196308997413498,-1.6644708292055665,1
-2.2147491859719213,-1.9130972325451043,1
-2.39709929880356,-2.0031607906732907,1
-1.374919409544424,-1.9827044065603254,1
-1.9616217357451045,-1.9673521092375619,1
-2.0978134633999526,-1.9893589392613595,1
-2.235298829353131,-1.2270524258068898,1
-2.0739527448001778,-1.1563771793565762,1
-2.2944861229702402,-1.113997110104985,1
-1.60772426293611,-1.7218443085640605,1
-1.5431373250783187,-1.866189774797725,1
-1.5962023806869312,-1.9251685742659506,1
-1.0952436679878075,-2.1632829985838464,1
-0.8742809715085726,-2.024023124591974,1
-0.6005230452362584,-1.9920098798858468,1
-2.44291191728729,-1.7095781574188402,1
-2.473355321352124,-1.7740243789679884,1
-2.2006143955420012,-1.6425473806931548,1
-2.122687603658666,-1.6065500786896383,1
-2.095528400722945,-1.7411026311133497,1
-1.7752972656122192,-1.8579032314329647,1
-0.9916804855424548,-2.375069742141756,1
-0.9787607085727212,-2.343017158902975,1
-1.0141333072181489,-2.3313741938727346,1
-2.60610137944511,-0.4738716122560968,1
-2.39956990279522,-0.373872893185683,1
-2.336881168950394,-0.3165194414979053,1
-1.505667074687525,-2.1375178730318227,1
-1.909892675628126,-2.0079805402735333,1
-1.9173743883315775,-1.9382362252963277,1
-1.3336516692144118,-1.312575533802673,1
-1.4303214279734764,-1.2901211793586422,1
-1.3880859159293046,-1.4254915723001098,1
-1.7863921650462546,-2.2663119330619805,1
-2.1635690135143513,-2.5434595280635577,1
-2.530182560233645,-2.6006757777280924,1
-1.751030687214663,-1.2489098385356763,1
-2.1694530462264776,-1.0965017606629992,1
-2.363439818928489,-1.0145124904008724,1
-2.264804833150054,-1.8087084163486706,1
-2.163784101155116,-1.6926782903560222,1
-2.3059560807546715,-1.5769133671530207,1
-2.175967986481753,-1.6483482381962935,1
-2.206639533251556,-1.314841892094013,1
-2.20339955879023,-1.2061799513274996,1
-2.3632476202148442,-0.8204031663448546,1
-2.578465897063289,-0.9034498214434152,1
-2.8017845579673755,-0.9844198060568212,1
-1.6410900790170242,-2.6508781959125574,1
-1.3667488943494177,-2.618876992682876,1
-1.0869293208949624,-2.4988843260065083,1
-2.542997979834875,-2.6951809454697817,1
-2.617577402744933,-2.744324977805247,1
-2.5995236750677746,-2.7815153242207415,1
-1.0852794687849954,-1.9576156343064022,1
-1.0538856564509729,-1.9990928438167763,1
-1.1906135430838518,-2.023441528717806,1
-1.2022979012269006,-2.035137611032732,1
-1.219202610305821,-2.0660052123635015,1
-1.073805813650101,-2.0895134396936754,1
-2.4408733073504423,-2.252123607889029,1
-2.518768086547598,-1.981267347049564,1
-2.4067981512149785,-1.9179096067993004,1
-1.6873287601068783,-2.023306612573178,1
-1.90251703578192,-1.8947981424450218,1
-1.9357636872025092,-1.8415541626678973,1
-2.9457462294850743,-1.3986348660422112,1
-3.045872546741304,-1.285024377530686,1
-3.14881550832751,-1.1903578526579883,1
-2.466721501252393,-1.6864781225935581,1
-2.705252821966736,-1.6941741197379745,1
-2.6696545579585367,-1.7368143748503488,1
0.06955625009998079,-1.9017297232016368,1
-0.14022771714537324,-1.9321991853251104,1
-0.3571649448110222,-1.9790324848410306,1
-3.2096810858138283,-1.6205941495503182,1
-2.793095941230347,-1.71264851165849,1
-2.613968685699711,-1.7656425228373673,1
-2.6480429410370645,-1.8143325575576021,1
