CTAC,CTLESS,LABEL
-2.947543626512247,-1.1962875176309746,1
-2.9016895452667653,-0.9090609656169831,1
-2.7337062126283445,-0.9771638098052494,1
-2.4190284212358977,-0.6805694383339506,1
-2.698814242302509,-1.2614788441399285,1
-2.597045852996896,-1.5917046550368947,1
-2.6992979005693685,-2.4136478749538273,1
-2.652432124925319,-1.7020485510192567,1
-2.8113482310423064,-1.3243355362415126,1
-2.92444946763256,-1.5338911718523787,1
-2.732617265032984,-1.728953703430427,1
-3.082583987568286,-2.3564139263114066,1
-3.0323882534242665,-1.9392087386110821,1
-2.9516633494394964,-1.8637703486270554,1
-2.812967121059821,-1.849648820774261,1
-2.6853943603854615,-1.8555123950497294,1
-2.590663864249464,-2.1912742767789046,1
-2.2274876747133225,-2.2530585909254417,1
-1.9936187880529697,-0.9575540269544538,1
-1.903181160952917,-1.3003092040524895,1
-1.7942956737187599,-1.4747623890323498,1
-1.6994161397397527,-0.4528147237671513,1
-1.229098289950176,-0.5272497477300737,1
-0.6896660948238864,-0.5293257112577199,1
-2.507343650825425,-0.7730253590680579,1
-2.3651593912006157,-1.036989789351038,1
-2.4567466389027093,-1.5326822610381472,1
-2.7443113346716816,-1.46453365493077,1
-2.396962148875053,-1.1640013622626724,1
-2.069857896923404,-0.861327281780634,1
-3.1051014662102805,-1.5695836031198933,1
-2.8603159502462008,-1.3746542495532967,1
-2.437716778317872,-1.1000361047412166,1
-3.1104857033299385,-2.3680060160402823,1
-3.1809044910465003,-2.178430615097075,1
-2.9954153453958456,-1.8753971478640044,1
-2.4895859166902574,-1.1967161481832176,1
-2.603586110974369,-1.455236261436634,1
-2.690836015999795,-1.6454454084778627,1
-2.4466581512728514,-1.7652426540008552,1
-2.610115738560678,-1.6878633421031703,1
-2.782342024980312,-1.1558979196019321,1
-2.797292625933788,-1.183367113581866,1
-2.9813276574446106,-0.9213079674190409,1
-2.9494112528151355,-0.8678036761398408,1
-1.623706682058267,-1.6601103860766413,1
-1.4570032074397457,-1.1359603711652029,1
-1.476634164653983,-0.5970756254206124,1
-2.7613357333155406,-2.0954694636559674,1
-2.882646500455592,-2.1969862329856387,1
-2.5160921442553557,-1.8241110576231863,1
-2.8605420731842606,-1.710061467755403,1
-2.7669209702715203,-1.738654885631042,1
-2.8674855770509224,-1.6934230144219578,1
-2.5089412108249673,-1.2673003358349981,1
-2.325853633268899,-1.3234318763047501,1
-2.6488140206363626,-1.6341415891500641,1
-2.6579238618544623,-1.77922574432107,1
-2.5605240868794987,-1.597707918882564,1
-2.520352305449777,-1.5703876281144185,1
-4.172067926079342,-2.3942308639840744,1
-3.7739994075627714,-1.9779524287168513,1
-3.2668330708402986,-1.8386483770441377,1
-2.0650837116330023,-0.9778853310387189,1
-2.5329007203871443,-1.0256896398458284,1
-2.3481606204222194,-1.1171330520190939,1
-3.0579211230423184,-1.8397328941128617,1
-2.5947318560736448,-1.8246355605462632,1
-2.9441509345509225,-1.5763157514903308,1
-2.953095168347216,-1.2834332473234449,1
-2.7999256901892045,-1.118766634408582,1
-2.597276423387034,-0.8482015108952234,1
-2.4902344611185825,-1.52439346924974,1
-2.3728769776340672,-1.7128084899315374,1
-2.299908722809759,-1.5994250751392531,1
-2.666690170321956,-1.7028460588333554,1
-2.4868793724935414,-2.115198567673468,1
-2.676229621433627,-2.1676993609807766,1
-2.8455615837685357,-1.9036798308513032,1
-2.802584138897581,-1.6377113860672003,1
-2.6936477973619066,-1.544161881264568,1
-3.4683322970074344,-1.7671652975959715,1
-3.3763640059124684,-1.6425905482309844,1
-3.491054266849171,-1.489941660178753,1
-4.128201525501522,-3.0559822797116,1
-4.389448522866478,-3.361741384119977,1
