CTAC,CTLESS,LABEL
-2.275324677275959,-2.3804651151706624,1
-2.326158976719684,-2.5907755544435593,1
-2.333301522392392,-2.649515032193576,1
-1.5028478781527275,-2.160800268086974,1
-1.1908388822117435,-2.066310976703539,1
-1.1956094974180558,-2.0307253064227107,1
-1.5858444665838816,-1.3295144229518723,1
-1.6884539744970697,-1.1793179673236789,1
-1.4002840035094188,-0.9224397900210943,1
-0.8789609910331697,-1.7023466721901443,1
-1.0786452118580252,-1.4120598205850678,1
-1.371170750976456,-1.5143621091541815,1
-1.2345803253286145,-1.2503222585633469,1
-1.4402993640004214,-1.3667112218185562,1
-1.651398980154077,-1.361403991339798,1
-1.7484031131070532,-1.8007335408448344,1
-1.8891010011125244,-1.8317061319380974,1
-1.9810616608046692,-1.8608109176954284,1
-1.2043226652799968,-1.6432617375540062,1
-1.1993526421926015,-1.6168895668482601,1
-1.4932653655477743,-1.5972153597523921,1
-0.5140447760895079,-1.2293630369422501,1
-0.8366350780364482,-1.5657703191346928,1
-1.1723915213019724,-1.839874602549282,1
-0.9564364091310203,-1.4242448939246322,1
-1.1293649176205673,-1.4530224232012068,1
-1.7201730961479496,-1.4035895168767865,1
-1.1308511713825333,-1.4169398747034982,1
-1.140195960828437,-1.320211503432492,1
-1.23692429678172,-1.3824057753050174,1
-1.7445388616813515,-2.107240170283529,1
-1.6814080136214797,-2.2551523704326755,1
-1.9210256362482707,-2.2664850774465646,1
-0.9043097075397077,-1.227744573091377,1
-1.019007316440769,-1.2193464336070117,1
-1.399831209703394,-1.3327576169596003,1
-1.5686958923067067,-2.006034314986566,1
-1.607866761197742,-1.83547993159489,1
-1.3663322454239986,-1.7595869890096303,1
-3.0444057823295876,-2.9668940973123306,1
-2.553605643963519,-2.848313072379203,1
-2.057102804050932,-2.7780572349939936,1
-2.0919066761744127,-2.763597738930444,1
-2.233705637463741,-2.703338097225393,1
-2.478859456142408,-2.524549459322511,1
-2.1311787653358074,-2.153564892238929,1
-2.1218182479835423,-1.9503229043197394,1
-2.107189321377407,-1.8738705140348726,1
-1.5322361548089254,-1.7226753974522944,1
-1.3116512948132444,-1.607688352708499,1
-1.280141519262092,-1.5794238689003812,1
-2.4863063855791534,-2.5670726203404257,1
-2.218261183680474,-2.654058947051074,1
-1.6116815764068537,-2.5721212209663813,1
-1.3833271930119064,-1.660260701549913,1
-1.4492140911501146,-1.7165233269688496,1
-1.5913147397696954,-1.631272742051061,1
-1.538110562048101,-1.7127806964450398,1
-1.4090526309805578,-1.7396506104117515,1
-1.1978886513571951,-1.7243167314162058,1
-1.7125081319913353,-2.30386346009244,1
-1.9006144839361663,-2.2188109038921233,1
-2.1611216444034795,-2.217495535285622,1
-2.0755518729102347,-1.8820538310332637,1
-1.881423611565792,-2.2002710842733624,1
-1.8737853585840352,-2.2879209327620957,1
-1.2392159717482558,-2.0614884672145672,1
-1.570481426535049,-2.2580212431918714,1
-2.194218281575366,-2.393442420815769,1
-1.7428119787660723,-1.8974398019738052,1
-1.4012566922742091,-1.8279979173656251,1
-1.095196440585901,-1.6917548519415617,1
-1.8199357338901567,-1.7578637386772842,1
-1.895130223695015,-1.791703167510641,1
-1.8244274622182102,-1.6885232542787185,1
-1.0683577073180088,-1.74340941231684,1
-0.8220678697861903,-1.4975619315340216,1
-0.7600492324724601,-1.5146187911360987,1
-1.0576082748143518,-1.4308588594619456,1
-1.3947675168485119,-1.6645754266597579,1
-1.7757453986744758,-1.6731593279143615,1
-2.2131705595988653,-2.2959376951058728,1
-2.449289029115049,-2.34177443987073,1
-2.5390490097259866,-2.351976465258376,1
-0.7985571206643098,-1.2147226357674346,1
-0.784368569783866,-1.0774081286453994,1
-0.8648597640783384,-1.0501166865237819,1
-2.0283821931872943,-2.1020977522628446,1
-2.1220658367035306,-2.407158605212949,1
-2.343273400243425,-2.240058523714085,1
-2.655602007292282,-2.71297821437497,1
-2.609889880890851,-2.6875639493229544,1
-2.6621882593209056,-2.5900652230736316,1
-2.0086814658116827,-2.4901954364423826,1
-2.4515872653773982,-2.2879760395945477,1
-2.212154637553769,-2.2405908007707986,1
-2.009087836674204,-2.216905924946419,1
-1.8556521495294591,-1.9645768229038287,1
-1.5820987092495102,-1.862195066371207,1
-1.4794150794356797,-1.8862095348827284,1
-1.4103739968505238,-1.9058999950960072,1
-1.3479360798923894,-1.7804558966500257,1
-1.0904982252081146,-1.6099138026447863,1
-1.1712280806744524,-1.3950741574527656,1
-1.1841960970405938,-1.4146266898997832,1
-1.3495030740578806,-1.3952017386376825,1
-1.2709375116977535,-1.1211261758929756,1
-1.294195957297224,-1.107832874416876,1
-1.0688571815739554,-2.040587881069058,1
-1.4101439391291328,-2.038257135113748,1
-1.7716235549852302,-1.9318113954259222,1
-2.056091570809394,-2.1494749558485404,1
-2.1696844561480937,-2.1144035031738166,1
-2.2275753390544906,-2.0724959737663813,1
-1.4355623670422824,-1.9493023077306835,1
-1.1591060384455032,-1.7625884261292555,1
-1.3125302272432777,-1.6426995294807858,1
-1.7654492342328068,-2.144002373502518,1
-1.9220244546184833,-2.1652332527657157,1
-2.25903019289313,-2.219420661417738,1
-1.4225178600139676,-1.316700742494244,1
-1.4377879930270119,-1.2524247305983114,1
-1.564543766274939,-1.372825936237439,1
-1.4542201684731342,-1.5624776561455123,1
-1.461784642081843,-1.2786894959492487,1
-1.3538888059116747,-1.2197281769602406,1
-2.380959703101041,-2.3529770841581836,1
-2.5497550704764445,-2.554870980905635,1
-2.6680993631029244,-2.533707779798643,1
-1.6893831790723928,-2.09397761902181,1
-1.879704167236879,-1.8629465078112415,1
-1.7451685024745132,-1.7297328155302694,1
-0.3295218751214493,-0.8172337052386253,1
-0.5264121819911846,-0.8756528637997826,1
-0.709967431602152,-1.0554834901885424,1
-1.5783046394995406,-2.5012397962384805,1
-1.782237441743141,-2.3901358674581767,1
-2.356515708175968,-2.15547754055446,1
-1.760179087638205,-1.819169429657825,1
-1.7704884135825603,-1.9966269706348072,1
-1.932609950555214,-2.033757853056791,1
-2.6587484148075964,-2.3942666283895964,1
-2.611874537979963,-2.1198992346967493,1
-2.3126678180122706,-2.0567107334473302,1
-2.444845936803074,-2.495376455765901,1
-2.2838182511684764,-2.6019527262045035,1
-2.115786459225218,-2.538924654390037,1
-0.4745808394483074,-0.25387158100466223,1
-0.5244628987551213,-0.3425637136313757,1
-0.44459500913373884,-0.2272903245224247,1
-2.6054121880287617,-2.5639402793357844,1
-2.5334193736913493,-2.585411092224975,1
-2.39340071724859,-2.492733717176506,1
-1.449563262045709,-2.095897692079212,1
-1.6808363581847527,-2.2212913607327742,1
-2.0694548553284506,-2.4115265516257107,1
-2.098766746292241,-2.2245543504016485,1
-1.904295809894159,-2.3122185995562354,1
-2.2894888701353766,-2.224822449761099,1
-2.5180570495284247,-2.7397397737446365,1
-2.106090283627469,-2.7369131426004425,1
-1.7110802420648124,-2.736124989226879,1
-2.3373357153011796,-2.3114422051737904,1
-2.0005972595854273,-2.3453336892243155,1
-1.7748702656691075,-2.355123012575697,1
-2.0701766184307915,-2.6408308547811665,1
-2.0309697420774757,-2.7113776472690514,1
-2.109862848889026,-2.6187479754196406,1
-2.328147663350771,-1.7475825894949115,1
-2.5447350921000433,-1.901641244357024,1
-2.697966335777532,-1.9933414326514245,1
-2.347540704547235,-1.9945577088699262,1
-2.3778852049736257,-2.1424318313281088,1
-2.731494149662507,-2.2012626421677925,1
-2.4619309016609767,-2.9427967513439537,1
-2.4973594109677726,-2.6532757092023944,1
-2.0591989167312708,-2.521777655137005,1
-2.5798257314280875,-2.131309894341902,1
-2.7313471611549676,-2.058111352859426,1
-2.738299711921346,-1.9221666699963669,1
-1.9650924142149782,-1.6764812397283813,1
-1.8808540353485768,-1.739191127149485,1
-1.6757949975002666,-1.7651318825916404,1
-2.290354623515835,-2.393479241862728,1
-2.618365976222499,-2.5901559783388106,1
-2.7430064323044445,-2.7203467641951806,1
-1.8233164738916772,-2.0347586370679993,1
-1.7349782650943066,-1.918492816962237,1
-1.8467750071918634,-1.8870592643315074,1
-1.8796068047461714,-1.7259930994185182,1
-2.187675845827246,-1.6210350525779784,1
-2.3484328779333525,-1.6081012615038879,1
-2.5241380851582687,-2.7780348201219742,1
-2.445263595579815,-2.672657005456601,1
-2.136545728821292,-2.441823461756081,1
