CTAC,NAC,CTLESS_CZT,CTLESS_NaI,LABEL
-2.56616837691469,-1.34643489088694,-2.46599393877566,-2.44904217219898,0
-2.49644883856651,-1.66916940608215,-2.65832123772041,-2.55733168523613,0
-2.91461861635657,-2.22981268458603,-2.55069843995854,-2.48814603021786,0
-1.91008631341559,-1.40272363632926,-1.83231886582539,-1.75646648035179,0
-1.67097804132659,-0.501589256465369,-1.8704230878243,-1.8121906339286,0
-3.12565936311791,-1.118887682606,-3.56500786053504,-3.40371611707634,0
-2.42753389129801,-1.35878634314451,-2.22535445164713,-2.24137030769062,0
-2.56375478006363,-1.52491665101138,-2.86050998792986,-2.74564981672753,0
-2.0723008021953,-0.80344551119699,-2.11557333663279,-2.01583087149747,0
-1.8165704980139,-0.793565614685585,-2.02671646277762,-1.97033044130256,0
-2.93664748520601,-2.02004170561671,-2.77608346539587,-2.72567999939586,0
-3.38747384106007,-2.14457429951242,-3.32875577469613,-3.19525409392925,0
-3.24118795489326,-1.76198718476176,-3.61822072612987,-3.51059370563569,0
-2.53989929914556,-1.24301704253626,-2.70789514504803,-2.57909248479906,0
-2.51312397945524,-1.35777308815509,-2.95137954602964,-2.82289890745928,0
-2.54391576811456,-0.971188520206218,-2.93440886899289,-2.85634426688688,0
-1.09998906585195,-0.209617855027015,-1.19599775488,-1.19299814877507,0
-2.49441089136739,-1.24647566975001,-2.37860871665954,-2.28397017517105,0
-2.79841933863653,-1.05850842012083,-2.99228971683307,-2.87673883829121,0
-2.18021463190672,-0.906888119955401,-2.14980475829339,-2.10363515208494,0
-2.5655153383472,-0.930025666931796,-2.88880094658015,-2.76407897653358,0
-1.7637464557281,-0.626192608875889,-2.02435678618734,-1.95297394697982,0
-2.7032222387786,-1.24344104777303,-2.10688031034416,-2.09351443661817,0
-2.8933138374366,-1.3762056255883,-2.90423658916328,-2.79937565595533,0
-2.23331108335469,-0.912413368258731,-2.49666253738009,-2.45307383336318,0
-2.81541147111966,-1.1743539571677,-2.65614944332227,-2.59271088810649,0
-1.88598759558823,-0.584304480554154,-1.9646998031148,-1.82611369208244,0
-2.20188466174909,-1.60534465418014,-2.53478806474188,-2.43911691245718,0
-2.76401613220373,-3.1723813702565,-2.47070365163244,-2.44384313687336,0
-2.42116035620632,-1.02584749211714,-2.35309518679881,-2.29752614508116,0
-3.2067725605959,-1.20115629437458,-3.14660420796189,-3.00842082646654,0
-3.06945830677437,-2.11632696097022,-2.7409395536839,-2.669432915698,0
-2.53215893679535,-1.57831839023111,-2.39746403844844,-2.36865648977184,0
-3.0821889088,-1.00789825991233,-2.80745802151103,-2.65704250658788,0
-2.102147247947,-0.693761944752304,-1.95126029108453,-1.87490274389492,0
-2.10027466993631,-0.549479502165936,-1.92784655376249,-1.88886241007505,0
-1.41597936802568,-0.694700176674062,-1.44723393590786,-1.45519844317033,0
-1.3999197588362,-0.454761368387588,-1.32861956376937,-1.24252391446166,0
-1.61736854273082,-0.802552117317921,-2.03477961133223,-1.94709558112626,0
-3.57595942891376,-3.5196707287932,-3.46369012062603,-3.42857765923862,0
-3.09296340583688,-1.08720174338798,-2.87291352638074,-2.82104594179417,0
-1.10140730235098,-0.369299308555093,-1.32307947239763,-1.36103642086314,0
-1.84616165994536,-0.840987266079426,-2.10810306506108,-1.98211680361897,0
-1.04809411904284,-0.583040717675531,-0.643663073395718,-0.642690377290439,0
-1.6090099094186,-0.464723563403014,-1.5606456517684,-1.48637330078907,0
-2.60204733477302,-1.01421867382132,-3.1699338155069,-3.00449887706184,0
-3.11212387315513,-0.842493096747181,-3.43916344082047,-3.33056440399016,0
-1.62593003248401,-1.08289575411451,-1.74399197470822,-1.7276477973195,0
-2.48871241041604,-0.684710721240959,-2.57617865236118,-2.42293854114466,0
-2.14060886712916,-1.24713950695153,-1.87311551330709,-1.82325695642191,0
-2.86425142881087,-1.03830717230863,-2.69410974493338,-2.63563048572054,0
-2.05183225388138,-1.48470530177186,-2.60316594140541,-2.50090307261793,0
-2.81832634412586,-1.07842209085851,-2.43666155496833,-2.3559873546836,0
-2.29000262631914,-3.1893171363633,-2.49756390914639,-2.28204835669429,0
-4.03112405160043,-2.65873598928374,-3.93978271049946,-3.86342740822336,0
-2.61881755987827,-3.87368294957241,-2.30268580413461,-2.46627826662211,0
-2.69082968413767,-2.0342054267983,-2.83190256304178,-2.93482667142788,0
-0.866433599202517,-0.0162076297610347,-0.653970395804536,-0.93161997267964,0
-2.6530502308752,-2.22303333930543,-2.25790026444233,-1.9280756919261,0
-3.04093628706503,-1.73232943910937,-3.10808345594652,-3.26353177694662,0
-2.41405252866271,-1.99049511957891,-2.29945236834949,-2.86779761125326,0
-2.78143198189213,-1.94959326438115,-2.56493910033628,-2.13434301592614,0
-2.2206629111977,-1.04810468463215,-2.30878122184838,-2.39962828747073,0
-2.42240725454488,-2.18346288500431,-2.2070611726079,-1.86654020802421,0
-2.20199114981553,-1.06429083490078,-2.37013053294333,-2.50692269601217,0
-2.53110807262823,-0.628426274186562,-2.32764374037399,-2.30799887021882,0
-0.350809122895114,0.591633453638765,-0.287913862760038,-0.373347727213927,0
-1.77543648194715,-1.48500316794142,-1.94324395906364,-1.49060317836763,0
-2.5936669592057,-1.07305005093146,-2.29372145727479,-2.33224074855558,0
-2.89357968646219,-1.52304702934271,-2.68959885886175,-3.12144221898533,0
-2.4540144326037,-0.91847023190589,-1.95729467819621,-2.23285584298107,0
-2.34111271865816,-0.711578598044671,-2.32703202320943,-2.04451535256906,0
-2.37932701900633,-0.752010575325569,-1.85778361479875,-1.7875826681436,0
-2.47610808046857,-2.07999440520917,-2.87174007515122,-2.74174421988642,0
-3.12082846655179,-0.852136148299833,-3.08991882401061,-3.00791728689205,0
-2.03130715311348,-1.3911541441288,-2.36903663538878,-2.33001647543502,0
-2.39322696147077,-1.76340343777365,-2.16502988191922,-2.19431647287993,0
-1.24241427481184,-0.576301406986628,-1.55160554720854,-1.45523314651207,0
-1.90474585232402,-1.05478883642089,-2.05282349269167,-1.96320000628864,0
-2.29827900972039,-1.19185393574879,-2.14091763302062,-2.10670870522029,0
-3.24859551138398,-2.19683670780137,-3.21417426763428,-3.09109941155668,0
-2.83231323345262,-1.99353508187757,-2.54606147377745,-2.42497890361179,0
-1.84989966924664,-1.74539665647306,-1.73561513621719,-1.6486543223605,0
-1.56793473249991,-0.437980791542344,-1.59650408166932,-1.5237954387912,0
-3.17689361224732,-1.13553809250957,-3.4627108587829,-3.28837517631913,0
-2.70142645814918,-1.36154663357089,-2.53912196047479,-2.43135332908404,0
-2.09734488038564,-1.22907772408168,-2.44433566553074,-2.34371714846039,0
-2.50054414647736,-0.821770846123381,-2.19589825137996,-2.09076471153568,0
-2.23409981817374,-1.12422069994605,-2.24493747948835,-2.1857253571218,0
-3.31786099828349,-2.22274780692813,-2.9783409822246,-2.85770553336498,0
-3.55112885642669,-1.91352714302259,-3.34038199717736,-3.18859867424623,0
-2.38851015441932,-1.33337801785923,-2.84762821203281,-2.75619292347252,0
-2.61812571226697,-1.29819430764146,-2.63669765899056,-2.54882385878177,0
-2.39216261913693,-1.29885060463281,-2.69741313208188,-2.62762767687668,0
-2.12463135625705,-0.792753764798801,-2.55088506713108,-2.39175099783943,0
-2.15750452128222,-0.601129623827248,-2.30738437254581,-2.20026537216649,0
-2.58745984182181,-1.26874861595184,-2.32399577634185,-2.22015505015464,0
