CTAC,CTLESS,NAC,LABEL
-2.21490333260245,-2.36392733659294,-1.816965704978,0
-2.78549720565565,-2.99838765524528,-3.67903207152295,0
-2.10392326838393,-2.24074856380919,-1.94279112282323,0
-2.95399995348787,-2.87431868292206,-2.06584150310423,0
-2.87545199565732,-2.98422653838116,-1.88340551520828,0
-3.39542390229328,-3.33153365063253,-4.2173234665386,0
-2.63280192229981,-2.885827160887,-3.7781279445712,0
-2.70017333831372,-3.03625705465459,-2.04985983874719,0
-2.51390615946211,-2.73390937055624,-2.32252283274245,0
-2.43815513996945,-2.83703592533003,-1.89691028020512,0
-3.01431453809992,-2.87053952674652,-1.89085640326647,0
-3.76638654288963,-3.58659594640842,-3.17308705092662,0
-3.60621666166846,-3.55740120770022,-2.74762562022018,0
-2.31174834691257,-2.36758663772444,-1.91267500357021,0
-2.32043433423887,-2.57167296364502,-1.23390375332907,0
-1.57332443888447,-1.94785642499112,-0.704815494852434,0
-0.761135050855223,-0.74206549102474,-0.253741079333433,0
-3.3634532880766,-3.24260196786026,-1.60160341818122,0
-2.31006933439104,-2.15974907209424,-0.866051346857887,0
-2.82364961375405,-2.74886119701516,-1.14462657366703,0
-2.08505439094061,-2.12738012269076,-0.945151477350281,0
-2.3570141919205,-2.57003628103501,-2.19673436713443,0
-2.46224020449445,-2.19182484048181,-0.771960444622906,0
-1.76677698534055,-1.97051417148182,-0.518822397857526,0
-2.0848522783376,-2.43498990523,-0.677869140449264,0
-3.13522970933461,-3.05683871662774,-1.86637197341552,0
-2.96700167162414,-2.66623258559443,-2.01477985117521,0
-1.99999051150112,-1.94494331221135,-1.48582545257744,0
-1.81274053001487,-2.07575870060905,-0.553998348912395,0
-2.58951824333565,-2.97592214649885,-1.47866240103493,0
-2.05012360989569,-2.22964689255021,-0.593464474646873,0
-1.31662981627983,-1.39163767403868,-0.522197309304125,0
-3.43227820629975,-3.43173690204582,-1.92782896339112,0
-2.51786000838904,-3.01917836678144,-0.8781373921898,0
-2.82636841427822,-2.33437246401987,-1.21991969746385,0
-2.69042017817817,-3.33704526559255,-0.909365372965155,0
-3.21060207538138,-3.24307585287421,-1.53510408172413,0
-1.89712242604063,-1.94150063422778,-0.620734139292413,0
-2.61899307534542,-2.60932321593075,-1.43184255687362,0
-1.80839299616935,-2.24787353543398,-0.704618084061072,0
-2.1758925552428,-2.16422535392467,-0.62313354527054,0
-1.9528798379751,-2.42634506112462,-1.02399064313322,0
-3.67118652293267,-3.7183169702302,-3.12988079278179,0
-3.08121074636299,-2.96801234942939,-0.974641392877857,0
-2.2086807994568,-2.31000163916433,-0.640054682636834,0
-1.23768429124465,-1.61069163699981,-0.495671936206558,0
-1.948515061333,-2.33826739799527,-0.951940857492089,0
-1.16507043660546,-0.811690785892577,-0.719298280493332,0
-3.16281965939609,-3.60993993842989,-0.804538166264418,0
-1.70763369800291,-1.89632278647389,-1.17274694210324,0
-2.63583957493034,-2.7505480611477,-0.774395427503848,0
-2.84726083353342,-2.76724640660765,-0.873182080000985,0
-3.49064036022425,-3.34951710776397,-1.62555404202267,0
-2.26002221303602,-2.48432005342207,-1.99198961723983,0
-2.37925588047236,-2.63870258778711,-3.16398357064927,0
-2.2105323798364,-2.32153146910188,-1.99563394397123,0
-2.76984815729006,-2.58386323699433,-2.00010594077593,0
-3.76137306272602,-3.58771513231757,-2.17729295806172,0
-3.24284600532486,-3.24672161531157,-3.88298978095987,0
-2.64045299400909,-2.60080780202994,-3.84561844334548,0
-2.82491300479891,-3.16180059419107,-2.00914961889508,0
-2.72746090749574,-2.65044703391041,-2.28554145276729,0
-2.34739369603539,-2.3975873492717,-1.92129847462285,0
-3.07734709951501,-3.36233149818998,-1.99116410777479,0
-3.50425407744748,-3.62876006743908,-3.09150881083028,0
-3.42557304418916,-3.43687899858645,-2.4894633209667,0
-2.47850205861149,-2.26820539445009,-2.15581922477716,0
-2.27831827688029,-2.60191342656523,-1.4465381063019,0
-2.408471723905,-2.6344568306545,-1.16411440703355,0
-0.739644716035516,-0.7496307313983,-0.213162786209238,0
-3.58792207423417,-3.48044612943379,-1.69393368608454,0
-2.61204557581804,-2.39722196489863,-0.925978339100381,0
-2.5098596262771,-2.57481250196081,-1.08067168433385,0
-1.07505769615978,-1.27891880674962,-0.649464604974956,0
-1.83934285473665,-2.11986588380575,-2.2093779053856,0
-2.42181294372275,-1.92413171558815,-0.703251410969129,0
-3.21431938317342,-3.39255977163284,-0.877977844843914,0
-2.56138256306247,-2.46935382421059,-0.831054988346019,0
-2.57380975250066,-2.48221272234695,-1.73093643449541,0
-2.94632368296983,-2.64498703628732,-1.8930539962594,0
-1.87641736735192,-1.76280269964208,-1.74339021041024,0
-1.7473876274163,-1.8183137187981,-0.5141128642457,0
-2.1141491434255,-2.50629652055947,-1.17576559631329,0
-2.43202509157778,-2.68704983761672,-0.722212669354018,0
-0.962288836230652,-0.918702051904671,-0.476628330210701,0
-3.48360564952714,-3.31811854008092,-1.71350460709975,0
-2.19999472596687,-2.60308962679639,-0.817734726363719,0
-3.29126572784152,-2.79471455081302,-1.34973981055828,0
-2.11982912676367,-3.10785001466323,-0.919662623059559,0
-2.78535966265606,-2.93212790765983,-1.34920586033199,0
-1.56823844608933,-1.55219833315957,-0.583736280933304,0
-2.58069512386181,-2.53665720310094,-1.43829972114274,0
-1.84739324088432,-2.14704690107392,-0.691886020340944,0
-1.976299024426,-1.89374713176571,-0.587854537379364,0
-1.85596755983684,-2.28167048543241,-0.983588533175005,0
-3.49276785101159,-3.50129637996638,-2.75565827303121,0
-2.95406797252441,-2.98529489467776,-0.976510968597814,0
-2.54184150453562,-2.94319545384848,-0.819910638420347,0
-1.65401500541299,-2.11404424718976,-0.647943059184837,0
-2.42455145527898,-2.66063996722733,-1.15763291250157,0
-0.900041140106937,-0.518488505622812,-0.491875322409786,0
-3.31379051190778,-3.5908520371144,-0.793637606327749,0
-1.82632129003907,-2.11942975146336,-1.28252445351945,0
-2.65165244807636,-2.59559999729892,-0.779649316103941,0
-3.04621569815881,-2.96496391986213,-0.973063071937984,0
-3.36550454791446,-2.76808834044509,-1.8646925138301,0
-1.54761067556679,-1.85850690425677,-1.57078206239739,0
-1.79968332280564,-2.25891060218529,-2.6131680771584,0
-2.10849532118505,-2.28807006864655,-1.96422244107732,0
-2.50597949284542,-2.55785045434161,-2.06520707097559,0
-3.24467339912401,-3.12049388487213,-1.96347251710363,0
-2.34380255328844,-2.61422591296625,-3.01879182545451,0
-3.00322785215269,-2.69879319746773,-4.29321096895584,0
-3.07190836713438,-3.36375960591202,-2.10446758352962,0
-2.89368856623392,-2.57474756921366,-2.33564222273928,0
-2.05158069251653,-2.07815121902745,-1.6848449997761,0
-3.07555164948634,-3.40559648306853,-2.15827017985668,0
-2.69484253315788,-3.15179959378746,-2.65349972585548,0
-3.78594305159599,-3.88417958633123,-2.84430350935642,0
-2.33768546055859,-2.05370808131521,-2.06460864559105,0
-2.2117164875758,-2.61402294789774,-1.55506253714442,0
-2.31428291639686,-2.6906969835917,-1.15200183351824,0
-1.17710378936095,-1.16740555634223,-0.676305396139228,0
-3.44871189988889,-3.39445081432466,-1.73656734145657,0
-2.38359682131324,-2.37722921574852,-0.832767151234135,0
-3.18577545067227,-2.67283364741315,-1.09357610719594,0
-0.803009267672926,-0.912303043993382,-0.582480205282675,0
-2.07187954039931,-2.01770663964285,-2.24610959462149,0
-1.24592232576613,-1.13696835204253,-0.443286338894061,0
-3.72981916195058,-3.68085339026457,-0.95222754901782,0
-2.55198975682548,-2.65563574000962,-0.817447083549922,0
-2.12100878716315,-2.0355538555937,-1.64127628508655,0
-3.17979626724043,-2.97583883538946,-1.83595252308062,0
-1.67655020069771,-1.60518052453476,-1.74454741204069,0
-2.4899024857237,-2.36156930450833,-0.809414928871466,0
-1.99601811568322,-2.22751905126027,-1.22134607212336,0
-2.44660197918554,-2.88537555985302,-0.754539913428404,0
-1.78595144451984,-1.39590923951472,-0.736008676837966,0
-3.32892795235708,-3.20639546472632,-1.70934870156331,0
-2.00834965212952,-1.92280967343249,-0.67907318423225,0
-3.44507087662236,-3.05258067930932,-1.52024873077069,0
-1.55389010139663,-2.59502190784123,-0.874836985111044,0
-2.52073940746972,-2.62132756725356,-1.40743079265888,0
-2.33754330603727,-2.18830242802343,-0.778912990576788,0
-2.69334244189788,-2.67904311140647,-1.54134974515593,0
-1.91368470695049,-2.06400104219666,-0.750623373246139,0
-2.3350240286019,-2.04132750839352,-0.693865475312309,0
-1.63799419955885,-2.36551408211934,-0.972093861199148,0
-2.96323722781337,-2.95309794782275,-2.2136091394895,0
-2.394706142389,-2.63148668682708,-0.934075100456656,0
-2.706902666627,-3.39014654093632,-0.973270752345581,0
-1.27723441533931,-1.60696465612141,-0.584222001986338,0
-3.29975995393516,-3.4383373197333,-1.44952594921791,0
-0.838034986810833,-0.447232366213418,-0.547371816938607,0
-3.16079138051241,-3.42647839387495,-0.757112493158123,0
-2.47452784208971,-2.57466556617379,-1.87232771625266,0
-2.30761565267082,-2.35263949437872,-0.713134288098637,0
-3.28978818554338,-3.60551948670017,-1.13075744629082,0
-3.46486764724453,-3.22761989279387,-1.95333699663566,0
-0.28006524814644,-0.517895067871803,-0.354436691868727,0
0.205138553563388,0.29519180354353,0.256486047575242,0
-1.59590581929472,-1.65233845696339,-1.71706461597341,0
-0.567624623500445,-0.722744099479804,-0.453814323450901,0
-1.37039713663711,-1.469367192196,-0.724690144604361,0
-2.03384488405759,-2.20204331319281,-3.01689577411559,0
-1.09807943771367,-1.29406531929714,-2.1953027121548,0
-1.5688770413327,-1.67699763822344,-1.15598081177625,0
-1.81724368884378,-2.04309089620582,-2.33587004117634,0
-1.02132116861957,-1.27043640161261,-0.774981980955306,0
-0.916225313649293,-1.42793655219828,-1.41696613391817,0
-1.33775216930641,-1.37372309689424,-1.25111041178196,0
-1.13159865843112,-1.20898682869966,-0.97541510313003,0
-0.216648538961607,-0.221085938260106,-0.298070192098521,0
-1.00291499588416,-1.30541328266181,-1.03355547657344,0
-2.15207418813098,-2.38870432096924,-1.33304788179604,0
-0.221289653265356,-0.160107048848284,-0.2405544509624,0
-0.192290909208042,-0.521038490643234,-0.153562651529026,0
-1.30459595783439,-1.38653747843777,-0.640236652299817,0
-0.995432152826286,-0.992780073288846,-0.583041821426307,0
-0.138888221201436,-0.598033761422576,-0.25397376541354,0
-1.46761910347045,-1.29281964969726,-1.3727736666078,0
0.168001208191197,-0.129771714152896,-0.333885627540057,0
-0.454174569373773,-0.405361155547164,-0.272271606529089,0
-0.918777332567503,-0.860008571546305,-0.399133371989633,0
-0.632576851810703,-0.990269894707087,-0.399637050323027,0
-0.725123924711653,-0.832923521166028,-0.424436736174273,0
0.285132604224307,0.236097180916731,0.484655633094554,0
0.0953915073233574,0.116254800692492,-0.119555118550384,0
-1.35744770172003,-1.15876931072448,-0.924259928340762,0
-0.834456203720733,-0.905605152327135,-0.377569759623765,0
-1.06020968961751,-1.25615754093066,-0.750788070120406,0
0.359547991179379,0.0628527828689204,0.0575952399595067,0
0.0590503167921079,0.0753136829435324,-0.100345146549807,0
-0.561500517485979,-0.694219211620783,-0.404901223905629,0
-1.06426392548202,-1.29030684537482,-0.399668713242075,0
-0.885945396344468,-0.730508802842838,-0.496189558645016,0
0.0334611767557169,-0.302826009135168,-0.130702782785703,0
-0.558812734789263,-0.562826255652255,-0.492918365723652,0
-0.764992618023796,-0.909614370038856,-0.415811020067227,0
-1.17228477475506,-1.14650869965746,-0.414434885959767,0
-0.674709503464283,-1.29500579010112,-0.343687511756963,0
-0.512631586116145,-0.523758511536308,-0.368986490283049,0
-0.672354050537272,-1.09261553159342,-0.386018698588547,0
-0.673673979490007,-0.926903163597376,-0.33008444819148,0
-0.86750746401327,-1.24067662199448,-0.441746124383314,0
-1.87116960223418,-1.54366607641859,-0.974303662922376,0
0.74264160948753,0.533785947705693,0.314746589119323,0
-0.375775444964913,-0.432065172300218,-0.171193710361784,0
-1.23030702212056,-1.37511318497304,-1.05534901547412,0
-1.82575074341626,-1.16560332658653,-0.614660679894794,0
-1.56393464291922,-1.68599146910085,-0.65946951229045,0
