CTAC,CTLESS,NAC,LABEL
-1.92192808828361,-1.98829152652493,-1.43228168554716,0
-2.54486527951638,-2.18935758047655,-1.42188562489291,0
-1.95143415866524,-2.25651578902046,-0.619954278067944,0
-2.8419573280743,-3.03785499806459,-1.08197224433289,0
-3.114055311277,-2.91591503251487,-1.00995611604447,0
-2.80063751590709,-2.50945653466426,-2.04126595418468,0
-2.2790320704865,-1.9494480057296,-0.786724670160146,0
-2.34963125083749,-2.21621036563397,-1.13435226184124,0
-3.1488059222895,-2.64198514637988,-1.33501835675763,0
-2.22356278762831,-2.37650129684285,-1.09226878058788,0
-2.3504709362829,-2.575148773478,-3.07949818447454,0
-2.66798968290456,-2.7256441155231,-1.07054189241267,0
-2.29028760480829,-2.16287697675247,-0.791181582193791,0
-2.10504540054805,-2.68165407686868,-1.11151250869531,0
-2.28537065099166,-2.46024588164622,-0.748152546032921,0
-1.92753754768673,-2.07387304746203,-2.73285071667289,0
-1.01367701720486,-0.865162010319253,-0.355417145660723,0
-1.77979657312729,-2.078367470351,-0.84529476102304,0
-0.827008817958169,-0.673117529570871,-0.378164139231126,0
-1.83705576839852,-1.06170670883046,-0.584937755415917,0
-0.965339450147237,-0.9964573143872,-0.790160194775231,0
-0.228790933584472,-0.499095385255136,-0.19942232282107,0
-1.83416974104439,-1.88025061918445,-0.911166849439005,0
-0.684876074613386,-0.514370661833488,-0.37013468259912,0
-1.31645403246942,-1.55275079355289,-1.04420448224435,0
-1.41570498460136,-1.37828747860745,-1.16336772437872,0
-1.46283750148954,-1.27383828811323,-0.639205341192046,0
-0.238309609598466,-0.212238409194307,-0.038294927747188,0
-0.894685887606393,-0.679049006370753,-0.132650474339584,0
-1.9690590551437,-1.66597084454143,-0.596699657460613,0
-1.91361641548656,-1.63466285083394,-0.883388504099182,0
-2.04365881470431,-1.69303480603555,-1.41218065688344,0
-1.75752370934799,-1.16180804483115,-0.64543090395548,0
-1.968274478542,-1.71548622105313,-0.888096937801417,0
-2.00653319560116,-2.69181984214236,-4.58519316374647,0
-2.3362614869774,-2.11426149859572,-0.855771777842262,0
-0.973205923425493,-0.934516519719318,-1.03174576592884,0
-2.00911670881198,-1.52994884620523,-0.769581690915318,0
-0.953313084329911,-1.50200683999038,-0.345511957195748,0
-2.04205321621898,-2.27486207582767,-2.45787443246065,0
-1.44203843587164,-1.14690808278559,-0.99308757012302,0
-1.72444591791945,-1.43151701973335,-0.8324011953844,0
-1.44162256866338,-1.27438194237376,-0.51051567803254,0
-0.603637206582854,-0.480281432781819,-0.965305826316812,0
-2.03785832532007,-2.20795110983741,-2.37196356359534,0
-2.48782141671105,-2.44414506005552,-1.16669322210634,0
-2.57996523150611,-3.12851160340921,-0.851102221983972,0
-1.40380047110903,-1.48026883663331,-0.402430438376418,0
-1.96789778677838,-2.5032224563729,-0.704385331981747,0
-2.65425383317907,-2.56176757581788,-1.40259338443765,0
-1.90015138644434,-1.67098219245193,-0.52657394464386,0
-2.10798447842648,-2.23802478186354,-0.592524827307167,0
-2.74239367622742,-2.84790197960725,-1.0832393426526,0
-2.87730687986707,-2.56967686102543,-2.41914925856838,0
