CTAC,NAC,CTLESS_CZT,CTLESS_NaI,LABEL
-2.11995097180777,-1.34559894943642,-1.8308304379582,-0.825405467686593,0
-1.84576509786667,-0.486288624698412,-1.77246586865838,-1.07016953591188,0
-1.88420449904183,-1.02747591045108,-1.20148758031838,-0.914899943779168,0
-3.01247262034771,-1.94332521970727,-2.68729328520072,-2.38669863430227,0
-2.17236207957296,-1.49563577924821,-2.24465400067935,-1.19594587658973,0
-1.67396742521183,-0.688932641435924,-2.06161445646624,-1.25880733441593,0
-3.54096190080596,-3.93160650615937,-3.25367628529723,-3.16636187561,0
-2.06196165379119,-2.64528776904256,-2.05230101957881,-1.84870969063397,0
-2.45355765669177,-1.81693019680461,-1.16376703612974,-2.64477278464515,0
-3.01090488026087,-1.54726257925574,-2.59788516439589,-2.22884565555534,0
-3.84780145732428,-3.43291491780135,-3.45169951840974,-3.43332507121243,0
-2.69517471980558,-2.57581142206781,-2.32240806200196,-2.25510263850729,0
-3.62432734113229,-2.58339510909106,-3.4791962588106,-3.20024352682817,0
-1.74110448339508,-0.563139316567255,-1.97764647052422,-0.908135192349862,0
-2.22645603140643,-0.721975529565223,-2.0615180969882,-1.36244223033653,0
-2.57560714618163,-1.26541172315939,-2.30555314590688,-1.76577817768381,0
-2.57803662926216,-1.76005580996633,-2.00891301988834,-1.60969633773087,0
-2.9054563217132,-0.659940483449026,-1.9192376536821,-1.9744278466944,0
-2.48548402344457,-1.43709816973616,-1.92951762494734,-1.61045175159159,0
-2.41257112187599,-1.0707312115909,-1.81920477206809,-1.85983963028541,0
-2.12871067400506,-0.949673276903388,-1.94588917093921,-1.22987523114001,0
-3.36400601770969,-1.52955947160558,-3.05442610275213,-2.69234283809502,0
-1.73255209759795,-0.71086636091499,-1.73924751151081,-1.50113261863735,0
-2.70437639225985,-0.949731847434417,-3.02110795464589,-1.59363302068231,0
-2.01248174313646,-0.811886893014652,-1.17881536494379,-1.2510303878454,0
-2.37536825646128,-1.76966991660816,-2.10654931481812,-1.98709878751064,0
-3.43453795039018,-1.81163408981269,-3.29046769097905,-3.04837306452037,0
-2.95088590577279,-0.859418682501868,-2.69829589289812,-2.40790131467204,0
-2.16076732561865,-1.02063538714259,-1.93173464975802,-1.7206998150304,0
0.378566569658365,0.389670661620431,0.786663133548724,1.18966041875991,0
-2.77381430524628,-1.12373630619612,-2.65177098953213,-2.43430036252095,0
-2.02068402967743,-0.586080005418345,-2.13378249163006,-1.96114552620658,0
-1.93606754121284,-0.458744372292146,-1.77376604663329,-1.45776162972797,0
-1.56324351018835,-0.345432185950355,-0.966684838854125,-0.75168280518806,0
-2.22446063897021,-1.01515157982877,-2.24377454204514,-2.14690021030474,0
-1.0479426423113,-0.374879337614566,-0.879600235255567,-0.630841623044647,0
-0.930302389102841,-0.302349856869316,-1.02112053500165,-0.755850147116851,0
-2.73919601938461,-0.936884347479807,-3.09165488221071,-2.95766447420876,0
-3.12460827939476,-0.803543292044167,-2.71430531633225,-2.46021302878319,0
-1.79094134517678,-0.636725734510537,-1.95294800528945,-1.71324396239819,0
-2.57710995583576,-1.06379266769609,-2.16442525704355,-1.82065517134103,0
-2.04849585516788,-0.695302526485414,-1.85252613885985,-1.54214601659955,0
-1.97292511035663,-0.497301734510666,-1.63846325599195,-1.3923808406177,0
-2.2437045651717,-0.869983602856486,-2.04574145047533,-1.81010774498728,0
-2.40070190914364,-0.522717431887805,-1.99565843682178,-1.57956536897956,0
-2.37765089869919,-0.783365216812021,-2.63503406591333,-2.40366874909897,0
-3.61147961874768,-2.72765350640556,-3.42950308472471,-3.22371156915631,0
-2.97055496635363,-0.843328357774056,-2.82597645437048,-2.6403110248434,0
-2.27477515687616,-0.526927026932833,-1.96057235420762,-1.68231314132619,0
